device_id,date,screen_on_freq,screen_on_time
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-22,22,5989.028000000002
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-23,17,3010.7290000000003
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-24,28,9151.666
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-25,19,3017.178
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-26,29,10983.12
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-27,39,6770.019
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-28,37,4618.299
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-29,25,18921.882999999998
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-30,40,6582.955000000001
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-31,38,10448.546
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2023-01-01,33,6370.369000000001
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2023-01-02,11,4616.6990000000005
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2023-01-03,28,4494.751999999999
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2023-01-04,34,7477.754000000001
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2023-01-05,8,1887.881
0cc99fb9-dc4b-4137-8266-54411f3e9c63,2023-01-05,41,3165.8949999999995
0cc99fb9-dc4b-4137-8266-54411f3e9c63,2023-01-06,49,9664.958999999999
0cc99fb9-dc4b-4137-8266-54411f3e9c63,2023-01-07,56,7105.965000000001
0cc99fb9-dc4b-4137-8266-54411f3e9c63,2023-01-08,31,7661.141999999999
0cc99fb9-dc4b-4137-8266-54411f3e9c63,2023-01-09,35,7084.9389999999985
0cc99fb9-dc4b-4137-8266-54411f3e9c63,2023-01-10,22,5590.686
0cc99fb9-dc4b-4137-8266-54411f3e9c63,2023-01-11,25,4394.082
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-14,15,6693.654
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-15,39,14226.459
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-16,40,8389.787999999997
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-17,35,12556.996
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-18,36,10759.832999999999
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-19,37,15523.301999999998
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-20,41,13094.824
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-21,48,14220.287000000002
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-22,27,13212.745
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-23,27,10193.399
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-24,21,2956.9200000000005
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-25,34,13504.669000000002
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-26,34,17893.782000000003
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-27,39,11491.025
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-28,29,10189.256
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-29,42,12236.655999999999
