device_id,date,stationary,walking,running,automotive,cycling,unknown
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-14,555,43,0,30,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-15,498,36,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-16,499,30,0,7,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-17,599,39,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-18,602,5,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-19,547,50,0,67,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-20,501,9,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-21,496,75,0,52,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-22,607,15,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-23,354,14,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-24,583,21,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-25,510,12,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-26,555,11,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-27,714,30,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-28,666,26,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-29,461,104,0,35,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-30,463,121,0,75,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-31,486,92,0,59,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2023-01-01,465,38,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2023-01-02,792,76,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2023-01-03,801,136,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2023-01-04,877,490,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2023-01-05,518,48,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2023-01-06,474,314,0,155,0,0
